id,feedback
1,"The air conditioning in classrooms is not effective during summers."
2,"The online learning portal is user-friendly and easy to navigate."
3,"There are frequent power outages in the hostel."
4,"The campus is very eco-friendly with lots of greenery."
5,"The water coolers are not cleaned regularly."
6,"The faculty responds quickly to student queries."
7,"The gym facilities need more equipment and better trainers."
8,"The college should organize more cultural events."
9,"The computer lab software needs to be updated."
10,"The parking lot is not well lit at night."
11,"The exam results are often delayed."
12,"The campus has a very vibrant student community."
13,"The hostel bathrooms are not cleaned properly."
14,"The placement opportunities should be improved."
15,"The library staff are very helpful and polite."
16,"The campus lacks sufficient seating areas for students."
17,"The canteen staff are not very courteous."
18,"The college website needs a better events calendar."
19,"The medical room should be open 24/7."
20,"The sports grounds are often booked for private events."
21,"The Wi-Fi speed is good in the academic block."
22,"The college should provide more scholarships for meritorious students."
23,"The hostel common rooms need more recreational facilities."
24,"The campus is very accessible for differently-abled students."
25,"The administration rarely communicates important updates on time."
26,"The hostel curfew timing is too strict."
27,"The college should collaborate with more companies for internships."
28,"The online classes are well organized."
29,"The water supply in the hostel is irregular."
30,"The campus security should conduct more patrols at night."
31,"The library lacks enough reading spaces during exams."
32,"The teaching staff should use more audio-visual aids."
33,"The college should have more student clubs and societies."
34,"The food prices in the canteen are too high."
35,"The academic calendar is not followed strictly."
36,"The campus Wi-Fi requires frequent logins."
37,"The college should provide more career counseling sessions."
38,"The hostel laundry service is not reliable."
39,"The admission process is smooth and efficient."
40,"The campus needs more indoor sports facilities."
41,"The faculty should give more feedback on assignments."
42,"The college should celebrate more festivals and events."
43,"The mess staff are friendly and cooperative."
44,"The college should offer more foreign language courses."
45,"The campus lacks enough charging points for laptops and mobiles."
